"minutes","u","y"
0,0.103,0
1,0.117,0
2,0.271,0
3,0.092,0
4,0.276,0
5,0.543,0
6,0.677,0
7,0.311,0
8,0.942,0
9,0.595,0
10,0.669,0
11,0.551,0
12,0.677,0
13,0.819,0
14,1.136,0
15,0.602,0
16,1.098,0
17,0.717,0
18,0.96,0
19,1.277,0
20,0.847,0
21,1.135,0
22,1.925,0
23,1.189,0
24,1.438,0.033
25,1.303,0.185
26,1.868,0.239
27,1.645,0.328
28,1.38,0.147
29,1.838,0.571
30,3.007,0
31,2.037,0.619
32,2.317,1.735
33,2.24,0.142
34,2.366,0.532
35,2.636,0.671
36,2.081,2.02
37,2.987,0.795
38,4.667,0.417
39,4.018,1.125
40,3.967,2.023
41,4.85,1.313
42,3.88,2.17
43,5.06,1.739
44,3.826,2.754
45,3.16,2.679
46,5.156,1.988
47,5.265,2.621
48,4.941,3.133
49,4.533,3.605
50,3.691,4.396
51,6.015,3.829
52,3.115,4.731
53,2.914,4.474
54,3.356,4.792
55,2.129,3.071
56,3.452,4.018
57,2.567,4.947
58,2.549,3.756
59,1.653,6.197
60,2.581,6.518
61,2.108,4.618
62,1.295,6.672
63,0.65,6.39
64,1.402,6.992
65,0.461,6.671
66,0.228,7.835
67,0.517,6.703
68,0.098,8.222
69,0.167,10.634
70,0.218,10.372
71,0.072,10.81
72,0,10.708
73,0,13.646
74,0,13.148
75,0,13.809
76,0,16.044
77,0.037,16.266
78,0,16.999
79,0,16.066
80,0.072,15.455
81,0,17.964
82,0,19.768
83,0,19.485
84,0,20.321
85,0,20.834
86,0,22.306
87,0,22.197
88,0,22.141
89,0,25.527
90,0,25.864
91,0,25.719
92,0,24.906
93,0,28.177
94,0,28.032
95,0,27.534
96,0,28.507
97,0,25.899
98,0,27.59
99,0,27.039
100,0,28.846
101,0,29.986
102,0,33.004
103,0,33.697
104,0,34.5
105,0,31.398
106,0,33.112
107,0,33.816
108,0,32.562
109,0,33.814
110,0,33.308
111,0,34.538
112,0,35.069
113,0,34.733
114,0,37.438
115,0,39.29
116,0,37.118
117,0,39.755
118,0,39.09
119,0,42.329
120,0,42.35
121,0,43.041
122,0,43.457
123,0,44.645
124,0,45.466
125,0,43.85
126,0,44.424
127,0,45.567
128,0,45.456
129,0,46.276
130,0,46.48
131,0,47.419
132,0,48.125
133,0,48.368
134,0,48.109
135,0,49.898
136,0,49.45
137,0,50.661
138,0,50.178
139,0,50.429
140,0,50.235
141,0,49.223
142,0,51.128
143,0,50.727
144,0,49.989
145,0,49.869
146,0,50.717
147,0,50.808
148,0,51.8
149,0,52.026
150,0,51.063
151,0,49.281
152,0,50.87
153,0,51.702
154,0,52.813
155,0,50.175
156,0,50.045
157,0,50.816
158,0,51.22
159,0,50.329
160,0,49.012
161,0,49.554
162,0,49.247
163,0,48.562
164,0,50.761
165,0,49.696
166,0,51.326
167,0,49.353
168,0,50.37
169,0,49.167
170,0,48.646
171,0,49.106
172,0,49.685
173,0,48.658
174,0,48.451
175,0,47.018
176,0,46.188
177,0,48.091
178,0,46.424
179,0,46.298
180,0,45.027
181,0,44.945
182,0,44.146
183,0,45.745
184,0,42.706
185,0,40.622
186,0,41.153
187,0,41.865
188,0,39.285
189,0,40.203
190,0,38.231
191,0,38.572
192,0,37.704
193,0,38.669
194,0,39.179
195,0,37.704
196,0,35.515
197,0,33.704
198,0,33.102
199,0,33.154
200,0,33.536
201,0,33.127
202,0,31.493
203,0,29.443
204,0,30.872
205,0,31.111
206,0,30.882
207,0,31.898
208,0,28.603
209,0,29.791
210,0,30.669
211,0,29.516
212,0,29.072
213,0,29.21
214,0,29.953
215,0,28.199
216,0,25.378
217,0,25.323
218,0,24.68
219,0,24.995
220,0,26.344
221,0,25.645
222,0,24.995
223,0,24.846
224,0,25.272
225,0,25.854
226,0,23.036
227,0,24.885
228,0,25.352
229,0,23.989
230,0,23.939
231,0,24.641
232,0,25.289
233,0,24.864
234,0,22.325
235,0,23.227
236,0,22.267
237,0,21.815
238,0,21.716
239,0,22.934
240,0,20.788
241,0,21.874
242,0,21.223
243,0,21.267
244,0,21.441
245,0,21.71
246,0,20.063
247,0,19.987
248,0,20.732
249,0,19.679
250,0,18.616
251,0,19.168
252,0,19.616
253,0,18.387
254,0,16.168
255,0,17.6
256,0,15.75
257,0,15.996
258,0,15.768
259,0,14.502
260,0,13.745
261,0,14.396
262,0,14.06
263,0,13.63
264,0,14.318
265,0,14.933
266,0,13.35
267,0,12.702
268,0,12.668
269,0,12.694
270,0,12.111
271,0,12.679
272,0,14.071
273,0,12.476
274,0,11.585
275,0,10.151
276,0,11.057
277,0,10.618
278,0,10.674
279,0,10.989
280,0,9.434
281,0,10.444
282,0,9.241
283,0,10.444
284,0,11.076
285,0,10.302
286,0,10.814
287,0,9.06
288,0,10.82
289,0,11.207
290,0,10.269
291,0,9.351
292,0,9.1
293,0,8.608
294,0,8.979
295,0,6.959
296,0,7.103
297,0,6.49
298,0,7.757
299,0,7.055
300,0,5.887
301,0,6.227
302,0,5.849
303,0,4.572
304,0,5.297
305,0,4.605
306,0,4.168
307,0,4.772
308,0,3.761
309,0,2.528
310,0,4.45
311,0,3.694
312,0,4.592
313,0,3.708
314,0,4.855
315,0,2.419
316,0,3.942
317,0,2.698
318,0,4.394
319,0,3.931
320,0,5.195
321,0,4.725
322,0,3.467
323,0,3.484
324,0,2.711
325,0,3.134
326,0,3.222
327,0,2.962
328,0,3.225
329,0,2.445
330,0,2.41
331,0,1.932
332,0,2.679
333,0,1.568
334,0,1.408
335,0,2.474
336,0,1.53
337,0,3.453
338,0,2.542
339,0,1.214
340,0,2.644
341,0,2.449
342,0,1.84
343,0,2.716
344,0,1.63
345,0,1.744
346,0,3.061
347,0,2.78
348,0,1.447
349,0,2.182
350,0,1.906
351,0,2.522
352,0,2.2
353,0,1.848
354,0,2.404
355,0,3.081
356,0,2.823
357,0,0.755
358,0,1.752
359,0,1.729
360,0,2.074
361,0,2.748
362,0,2.554
363,0,1.982
364,0,1.358
365,0,2.032
