"minutes","u","y"
0,0.058,0
1,0.06,0
2,0.057,0
3,0.096,0
4,0.107,0
5,0.251,0
6,0.219,0
7,0.191,0
8,0.311,0
9,0.383,0
10,0.494,0
11,0.351,0
12,0.508,0
13,0.453,0
14,0.848,0
15,0.841,0
16,0.65,0
17,0.416,0
18,0.863,0
19,0.944,0
20,0.612,0
21,0.902,0
22,0.747,0
23,1.022,0
24,0.773,0
25,0.883,0
26,1.001,0
27,0.796,0
28,0.662,0
29,1.048,0
30,0.943,0
31,1.101,0.378
32,0.486,0
33,1.007,0
34,0.997,0
35,0.77,0.709
36,0.77,0.557
37,1.342,0.423
38,0.938,1.314
39,1.506,0.47
40,0.909,0
41,1.382,0.377
42,0.994,0.579
43,1.018,0.24
44,1.667,0
45,1.222,0.476
46,1.278,1.943
47,0.889,0.182
48,1.495,1.091
49,1.101,1.809
50,1.189,1.057
51,1.325,1.271
52,0.904,0.966
53,1.404,2.092
54,1.15,2.008
55,1.162,1.211
56,0.898,0.774
57,1.156,1.345
58,1.115,1.592
59,0.881,0.754
60,1.291,1.465
61,1.049,1.223
62,1.046,1.136
63,1.388,2.347
64,1.309,1.955
65,0.774,2.812
66,0.972,1.903
67,0.858,2.513
68,0.929,3.711
69,1.052,2.597
70,1.074,4.408
71,1.24,3.466
72,1.054,3.634
73,1.107,3.63
74,1.384,4.561
75,1.019,4.414
76,0.987,5.59
77,0.89,5.327
78,1.095,6.27
79,1.199,7.337
80,1.075,7.109
81,0.64,8.875
82,1.081,6.939
83,1.293,7.214
84,1.399,6.395
85,0.799,7.453
86,0.93,6.515
87,1.164,7.695
88,1.025,9.701
89,1.737,9.938
90,1.499,9.602
91,1.487,10.465
92,1.012,11.102
93,1.335,10.694
94,1.351,10.075
95,1.712,10.806
96,1.596,11.393
97,1.47,10.27
98,1.498,11.17
99,1.291,11.272
100,1.699,11.222
101,1.258,12.505
102,1.929,13.754
103,1.637,12.816
104,1.179,14.157
105,1.94,14.046
106,1.593,14.416
107,1.207,13.5
108,1.195,14.263
109,1.395,15.511
110,1.297,15.13
111,1.042,17.903
112,1.115,17.933
113,1.637,17.954
114,0.96,17.499
115,0.72,17.68
116,1.058,18.827
117,1.392,17.748
118,1.249,16.913
119,1.055,17.778
120,1.388,18.43
121,1.315,18.689
122,1.402,18.705
123,0.945,20.714
124,0.857,20.197
125,1.051,20.51
126,1.444,20.406
127,0.971,20.162
128,1.034,21.722
129,1.286,20.927
130,0.921,22.324
131,1.078,21.697
132,1.157,23.239
133,1.274,22.644
134,1.278,22.118
135,1.168,22.834
136,0.664,24.902
137,1.053,24.337
138,0.643,23.998
139,0.624,26.734
140,0.902,26.443
141,0.924,29.216
142,1.183,29.311
143,0.893,27.941
144,0.754,29.44
145,1.345,28.036
146,1.01,29.895
147,0.883,31.002
148,1.254,30.232
149,0.631,31.744
150,0.631,30.997
151,0.767,33.482
152,0.953,33.404
153,0.594,33.912
154,0.777,34.479
155,0.85,34.932
156,1.004,36.523
157,0.599,34.41
158,0.533,35.659
159,0.927,35.499
160,0.564,35.314
161,0.685,37.409
162,0.955,36.743
163,0.645,37.409
164,0.77,38.373
165,0.714,37.243
166,0.471,37.47
167,0.614,37.333
168,1.106,37.022
169,0.72,38.385
170,0.812,37.835
171,0.547,37.411
172,0.48,36.573
173,0.923,36.155
174,0.95,37.49
175,0.871,35.416
176,0.798,37.923
177,0.937,40.177
178,0.869,39.321
179,0.661,39.99
180,0.538,41.142
181,0.685,39.713
182,0.303,39.874
183,0.722,39.299
184,0.471,40.161
185,0.609,41.445
186,0.663,39.44
187,0.803,39.923
188,0.658,38.497
189,0.71,37.252
190,0.691,37.48
