"minutes","u","y"
358,0,13.724
359,0,12.274
360,0,10.274
361,0,11.591
362,0,10.3
363,0,10.118
364,0,9.742
365,0,10.596
366,0,10.355
367,0,8.809
368,0,9.112
369,0,9.37
370,0,8.656
371,0,9.443
372,0,8.8
373,0,9.129
374,0,8.333
375,0,8.367
376,0,8.279
377,0,8.329
378,0,7.967
379,0,9.215
380,0,6.673
381,0,6.501
382,0,5.725
383,0,6.696
384,0,7.269
385,0,5.826
386,0,5.89
387,0,5.84
388,0,6.588
389,0,6.674
390,0,4.696
391,0,5.604
392,0,5.78
393,0,5.13
394,0,5.015
395,0,4.398
396,0,4.013
397,0,4.599
398,0,5.545
399,0,5.261
400,0,4.093
401,0,5.781
402,0,4.028
403,0,3.526
404,0,3.538
405,0,2.912
406,0,2.95
407,0,3.201
408,0,2.965
409,0,2.929
410,0,2.993
411,0,2.73
412,0,2.499
413,0,3.099
414,0,2.946
415,0,2.872
416,0,2.376
417,0,2.749
418,0,1.423
419,0,1.446
