"minutes","u","y"
0,0.016,0
1,0,0
2,0,0
3,0,0
4,0.017,0
5,0,0
6,0,0
7,0.01,0
8,0.049,0
9,0,0
10,0,0
11,0.085,0
12,0.068,0
13,0.13,0
14,0.125,0
15,0.082,0
16,0.161,0
17,0.169,0
18,0.077,0
19,0.079,0
20,0.17,0
21,0.113,0
22,0.245,0
23,0.202,0
24,0.197,0
25,0.235,0
26,0.167,0
27,0.423,0
28,0.303,0
29,0.442,0
30,0.242,0
31,0.57,0
32,0.395,0
33,0.446,0
34,0.61,0
35,0.338,0
36,0.675,0
37,0.869,0
38,0.54,0
39,0.692,0
40,0.498,0
41,0.758,0
42,0.934,0
43,0.533,0
44,0.473,0
45,0.879,0
46,0.883,0.686
47,1.094,0.189
48,1.558,0.212
49,1.403,0
50,0.967,0.441
51,1.147,0.71
52,1.263,0.125
53,1.46,0
54,1.181,0
55,1.571,1.182
56,1.925,0
57,1.213,1.146
58,1.419,1.46
59,1.669,0.287
60,1.602,0.049
61,1.162,1.345
62,1.943,0.3
63,1.598,0.032
64,1.839,0.244
65,1.785,2.118
66,1.554,1.336
67,1.975,1.427
68,1.76,1.815
69,1.72,2.068
70,2.19,2.776
71,2.176,1.836
72,2.06,2.483
73,2.566,2.186
74,1.94,3.528
75,2.285,2.901
76,2.427,2.869
77,2.261,3.842
78,1.641,3.127
79,0.977,3.554
80,1.54,2.946
81,2.426,2.948
82,1.954,4.635
83,1.585,4.394
84,2.319,5.15
85,1.942,4.857
86,1.332,5.354
87,1.848,4.97
88,1.837,5.414
89,1.456,4.619
90,2.548,5.169
91,1.436,5.866
92,2.429,6.602
93,2.667,7.621
94,1.967,6.908
95,1.849,7.57
96,1.953,9.648
97,2.189,9.447
98,2.703,8.285
99,1.069,8.916
100,1.945,9.664
101,1.288,9.524
102,1.494,10.719
103,1.562,10.162
104,1.357,11.874
105,1.468,11.089
106,1.259,11.948
107,1.759,12.626
108,0.935,13.519
109,1.217,14.59
110,1.206,13.758
111,1.052,16.45
112,0.638,13.645
113,1.037,15.699
114,0.804,15.62
115,0.954,17.869
116,0.816,16.781
117,0.548,18.241
118,0.829,19.471
119,0.657,19.463
120,0.328,20.847
121,0.803,21.385
122,0.51,21.34
123,0.296,23.651
124,0.462,22.011
125,0.474,23.873
126,0.441,25.067
127,0.21,26.697
128,0.406,26.344
129,0.232,26.67
130,0.254,25.619
131,0.241,27.417
132,0.228,26.904
133,0.04,27.38
134,0.123,27.238
135,0.185,28.378
136,0.045,29.628
137,0.182,30.155
138,0.028,30.71
139,0.099,30.977
140,0.038,32.949
141,0,32.275
142,0.008,33.21
143,0,34.113
144,0.047,34.281
145,0,33.664
146,0.02,33.735
147,0,34.904
148,0,36.371
149,0,37.22
150,0,38.547
151,0,37.95
152,0,37.735
153,0,38.37
154,0,37.926
155,0,41.019
156,0,40.088
157,0,40.431
158,0,42.654
159,0,42.814
160,0,45.084
161,0,47.027
162,0,46.339
163,0,46.666
164,0,48.962
165,0,49.653
166,0,48.053
167,0,48.541
168,0,49.985
169,0,49.627
170,0,51.923
171,0,51.296
172,0,50.895
173,0,48.971
174,0,47.111
175,0,47.177
176,0,48.309
177,0,48.55
178,0,46.755
179,0,48.512
180,0,48.176
181,0,48.318
182,0,49.614
183,0,50.455
184,0,51.078
185,0,51.016
186,0,52.372
187,0,49.272
188,0,46.821
189,0,46.981
190,0,45.112
191,0,47.007
192,0,48.111
193,0,46.731
194,0,44.559
195,0,43.706
196,0,43.674
197,0,46.86
198,0,46.024
199,0,45.361
200,0,47.455
201,0,45.995
202,0,44.611
203,0,44.935
204,0,43.666
205,0,43.291
206,0,43.564
207,0,43.287
208,0,43.091
209,0,42.185
210,0,40.739
211,0,40.336
212,0,39.271
213,0,39.222
214,0,40.837
215,0,38.889
216,0,38.866
217,0,37.405
218,0,36.933
219,0,35.684
220,0,35.727
221,0,35.533
222,0,34.489
223,0,33.681
224,0,32.621
225,0,32.202
226,0,32.498
227,0,31.25
228,0,30.555
229,0,29.891
230,0,31.04
231,0,31.316
232,0,31.495
233,0,30.098
234,0,30.883
235,0,30.862
236,0,30.929
237,0,29.103
238,0,27.937
239,0,26.638
240,0,27.181
241,0,25.577
242,0,24.43
243,0,24.164
244,0,24.163
245,0,23.209
246,0,22.681
247,0,22.389
248,0,21.169
249,0,21.135
250,0,21.034
251,0,20.725
252,0,20.672
253,0,21.565
254,0,20.895
255,0,20.085
256,0,21.039
257,0,21.081
258,0,19.668
259,0,18.781
260,0,19.85
261,0,19.463
262,0,17.881
263,0,17.162
264,0,15.712
265,0,17.185
266,0,17.321
267,0,18.111
268,0,18.45
269,0,18.189
270,0,18.334
271,0,17.634
272,0,17.736
273,0,16.998
274,0,17.066
275,0,17.544
276,0,17.118
277,0,14.788
278,0,13.559
279,0,14.424
280,0,14.889
281,0,14.222
282,0,14.854
283,0,14.928
284,0,14.178
285,0,13.464
286,0,13.872
287,0,14.777
288,0,13.58
289,0,14.067
290,0,14.981
291,0,15.146
292,0,14.493
293,0,14.432
294,0,11.682
295,0,13.915
296,0,13.578
297,0,13.042
298,0,12.04
299,0,12.444
300,0,11.836
301,0,12.182
302,0,12.757
303,0,12.804
304,0,12.559
305,0,13.336
306,0,12.264
307,0,12.837
308,0,12.199
309,0,12.187
310,0,12.535
311,0,12.403
312,0,11.092
313,0,10.391
314,0,9.678
315,0,9.643
316,0,10.504
317,0,8.626
318,0,9.233
319,0,8.795
320,0,8.326
321,0,8.437
322,0,8.805
323,0,8.447
324,0,8.356
325,0,6.522
326,0,7.52
327,0,7.088
328,0,8.206
329,0,5.656
330,0,7.287
331,0,5.975
332,0,7.148
333,0,7.814
334,0,7.317
335,0,6.457
336,0,5.055
337,0,3.959
338,0,6.042
339,0,4.909
340,0,5.115
341,0,3.615
342,0,4.538
343,0,5.383
344,0,4.896
345,0,3.703
346,0,6.333
347,0,4.652
348,0,5.583
349,0,4.505
350,0,4.364
351,0,2.214
352,0,1.458
353,0,4.029
354,0,4.278
355,0,4.183
356,0,3.795
357,0,3.19
358,0,2.408
359,0,3.577
360,0,4.127
361,0,2.992
362,0,3.41
363,0,3.164
364,0,2.901
365,0,2.879
366,0,2.46
367,0,2.875
368,0,3.573
369,0,1.746
370,0,2.599
371,0,3.354
372,0,3.108
373,0,1.751
374,0,2.084
375,0,1.605
376,0,1.775
377,0,1.766
